"gene","GO"
"ASB3","1. response to stimulus"
"ASB4","1. response to stimulus"
"ASB5","1. response to stimulus"
"ASB6","1. response to stimulus"
"ASB7","1. response to stimulus"
"ASB8","1. response to stimulus"
"ASB9","1. response to stimulus"
"ASB10","1. response to stimulus"
"ASB11","1. response to stimulus"
"ASB13","1. response to stimulus"
"ASB14","1. response to stimulus"
"ASB15","1. response to stimulus"
"ASB16","1. response to stimulus"
"ASB17","1. response to stimulus"
"ASB18","1. response to stimulus"
"ASCC1","1. response to stimulus"
"ASCC2","1. response to stimulus"
"ASCC3","1. response to stimulus"
"ASCL1","1. response to stimulus"
"ASF1A","1. response to stimulus"
"ASGR1","1. response to stimulus"
"ASH1L","1. response to stimulus"
"ASH2L","1. response to stimulus"
"ASIC1","1. response to stimulus"
"ASIC2","1. response to stimulus"
"ASIC3","1. response to stimulus"
"ASIC4","1. response to stimulus"
"ASNS","1. response to stimulus"
"ASP1","1. response to stimulus"
"ASP2","1. response to stimulus"
"ASPH","1. response to stimulus"
"ASPM","1. response to stimulus"
"ASPN","1. response to stimulus"
"ASS1","1. response to stimulus"
"ASXL1","1. response to stimulus"
"ASXL2","1. response to stimulus"
"ATAD5","1. response to stimulus"
"ATF2","1. response to stimulus"
"ATF3","1. response to stimulus"
"ATF4","1. response to stimulus"
"ATF6","1. response to stimulus"
"ATF6B","1. response to stimulus"
"ATG4B","1. response to stimulus"
"ATG5","1. response to stimulus"
"ATG7","1. response to stimulus"
"ATG9A","1. response to stimulus"
"ATG10","1. response to stimulus"
"ATG13","1. response to stimulus"
"ATG14","1. response to stimulus"
"ATG16L1","1. response to stimulus"
"ATIC","1. response to stimulus"
"ATM","1. response to stimulus"
"ATMIN","1. response to stimulus"
"ATN1","1. response to stimulus"
"ATOH1","1. response to stimulus"
"ATOH7","1. response to stimulus"
"ATOH8","1. response to stimulus"
"ATOX1","1. response to stimulus"
"ATP1A1","1. response to stimulus"
"ATP1A2","1. response to stimulus"
"ATP1A3","1. response to stimulus"
"ATP1B1","1. response to stimulus"
"ATP2A1","1. response to stimulus"
"ATP2A2","1. response to stimulus"
"ATP2A3","1. response to stimulus"
"ATP2B1","1. response to stimulus"
"ATP2B2","1. response to stimulus"
"ATP2B4","1. response to stimulus"
"ATP4A","1. response to stimulus"
"ATP5B","1. response to stimulus"
"ATP5G1","1. response to stimulus"
"ATP6AP1","1. response to stimulus"
"ATP6AP2","1. response to stimulus"
"ATP6V0A2","1. response to stimulus"
"ATP6V0C","1. response to stimulus"
"ATP6V0D1","1. response to stimulus"
"ATP6V1A","1. response to stimulus"
"ATP6V1B1","1. response to stimulus"
"ATP6V1C2","1. response to stimulus"
"ATP6V1G1","1. response to stimulus"
"ATP7A","1. response to stimulus"
"ATP7B","1. response to stimulus"
"ATP8A2","1. response to stimulus"
"ATP8B1","1. response to stimulus"
"ATP12A","1. response to stimulus"
"ATP13A2","1. response to stimulus"
"ATPIF1","1. response to stimulus"
"ATR","1. response to stimulus"
"ATRIP","1. response to stimulus"
"ATRN","1. response to stimulus"
"ATRNL1","1. response to stimulus"
"ATRX","1. response to stimulus"
"ATXN1","1. response to stimulus"
"ATXN3","1. response to stimulus"
"ATXN7","1. response to stimulus"
"AU018091","1. response to stimulus"
"AU040320","1. response to stimulus"
"AUNIP","1. response to stimulus"
"AUP1","1. response to stimulus"
"AURKA","1. response to stimulus"
"AURKB","1. response to stimulus"
"AUTS2","1. response to stimulus"
"AVP","1. response to stimulus"
"AVPI1","1. response to stimulus"
"AVPR1A","1. response to stimulus"
"AVPR1B","1. response to stimulus"
"AVPR2","1. response to stimulus"
"AXIN1","1. response to stimulus"
"AXIN2","1. response to stimulus"
"AXL","1. response to stimulus"
"AY074887","1. response to stimulus"
"AY761185","1. response to stimulus"
"AZGP1","1. response to stimulus"
"AZI2","1. response to stimulus"
"B2M","1. response to stimulus"
"B3GALT5","1. response to stimulus"
"B3GNT2","1. response to stimulus"
"B4GALT1","1. response to stimulus"
"B4GALT2","1. response to stimulus"
"B4GAT1","1. response to stimulus"
"B9D1","1. response to stimulus"
"B430306N03RIK","1. response to stimulus"
"BAAT","1. response to stimulus"
"BABAM1","1. response to stimulus"
"BABAM2","1. response to stimulus"
"BACE1","1. response to stimulus"
"BACH1","1. response to stimulus"
"BACH2","1. response to stimulus"
"BAD","1. response to stimulus"
"BAG3","1. response to stimulus"
"BAG4","1. response to stimulus"
"BAG5","1. response to stimulus"
"BAG6","1. response to stimulus"
"BAIAP2","1. response to stimulus"
"BAIAP2L1","1. response to stimulus"
"BAIAP3","1. response to stimulus"
"BAK1","1. response to stimulus"
"BAMBI","1. response to stimulus"
"BANK1","1. response to stimulus"
"BAP1","1. response to stimulus"
"BARD1","1. response to stimulus"
"BARX1","1. response to stimulus"
"BATF","1. response to stimulus"
"BATF2","1. response to stimulus"
"BATF3","1. response to stimulus"
"BAX","1. response to stimulus"
"BAZ1B","1. response to stimulus"
"BBC3","1. response to stimulus"
"BBS1","1. response to stimulus"
"BBS2","1. response to stimulus"
"BBS4","1. response to stimulus"
"BBS7","1. response to stimulus"
"BC004004","1. response to stimulus"
"BC018473","1. response to stimulus"
"BC024139","1. response to stimulus"
"BC048403","1. response to stimulus"
"BCAP31","1. response to stimulus"
"BCAR1","1. response to stimulus"
"BCAR3","1. response to stimulus"
"BCAS3","1. response to stimulus"
"BCAT2","1. response to stimulus"
"BCCIP","1. response to stimulus"
"BCHE","1. response to stimulus"
"BCKDHB","1. response to stimulus"
"BCL2","1. response to stimulus"
"BCL2A1A","1. response to stimulus"
"BCL2A1B","1. response to stimulus"
"BCL2A1C","1. response to stimulus"
"BCL2A1D","1. response to stimulus"
"BCL2L1","1. response to stimulus"
"BCL2L2","1. response to stimulus"
"BCL2L10","1. response to stimulus"
"BCL2L11","1. response to stimulus"
"BCL2L12","1. response to stimulus"
"BCL2L14","1. response to stimulus"
"BCL3","1. response to stimulus"
"BCL6","1. response to stimulus"
"BLK","1. response to stimulus"
"BLM","1. response to stimulus"
"BLMH","1. response to stimulus"
"BLNK","1. response to stimulus"
"BLOC1S2","1. response to stimulus"
"BLOC1S3","1. response to stimulus"
"BLOC1S4","1. response to stimulus"
"BLOC1S5","1. response to stimulus"
"BLOC1S6","1. response to stimulus"
"BMF","1. response to stimulus"
"BMI1","1. response to stimulus"
"BMNCR","1. response to stimulus"
"BMP2","1. response to stimulus"
"BMP2K","1. response to stimulus"
"BMP3","1. response to stimulus"
"BMP4","1. response to stimulus"
"BMP5","1. response to stimulus"
"BMP6","1. response to stimulus"
"BMP7","1. response to stimulus"
"BMP8A","1. response to stimulus"
"BMP8B","1. response to stimulus"
"BMP10","1. response to stimulus"
"BMP15","1. response to stimulus"
"BMPER","1. response to stimulus"
"BMPR1A","1. response to stimulus"
"BMPR1B","1. response to stimulus"
"BMPR2","1. response to stimulus"
"BMT2","1. response to stimulus"
"BMX","1. response to stimulus"
"BNC1","1. response to stimulus"
"BNIP2","1. response to stimulus"
"BNIP3","1. response to stimulus"
"BNIP3L","1. response to stimulus"
"BOC","1. response to stimulus"
"BOD1L","1. response to stimulus"
"BOK","1. response to stimulus"
"BOP1","1. response to stimulus"
"BPI","1. response to stimulus"
"BPIFA1","1. response to stimulus"
"BPIFA2","1. response to stimulus"
"BPIFB1","1. response to stimulus"
"BPIFB3","1. response to stimulus"
"BRAF","1. response to stimulus"
"BRAP","1. response to stimulus"
"BRAT1","1. response to stimulus"
"BRCA1","1. response to stimulus"
"BRCA2","1. response to stimulus"
"BRCC3","1. response to stimulus"
"BRD7","1. response to stimulus"
"BRF2","1. response to stimulus"
"BRINP1","1. response to stimulus"
"BRINP2","1. response to stimulus"
"BRINP3","1. response to stimulus"
"BRIP1","1. response to stimulus"
"BRK1","1. response to stimulus"
"BRS3","1. response to stimulus"
"BRSK1","1. response to stimulus"
"BRSK2","1. response to stimulus"
"BSCL2","1. response to stimulus"
"BSG","1. response to stimulus"
"BSN","1. response to stimulus"
"BSPRY","1. response to stimulus"
"BST1","1. response to stimulus"
"BST2","1. response to stimulus"
"BTBD11","1. response to stimulus"
"BTC","1. response to stimulus"
"BTG2","1. response to stimulus"
"BTK","1. response to stimulus"
"BTLA","1. response to stimulus"
"BTN1A1","1. response to stimulus"
"BTN2A2","1. response to stimulus"
"BTNL1","1. response to stimulus"
"BTNL2","1. response to stimulus"
"BTNL4","1. response to stimulus"
"BTNL6","1. response to stimulus"
"BTNL9","1. response to stimulus"
"BTNL10","1. response to stimulus"
"BTRC","1. response to stimulus"
"BUB1","1. response to stimulus"
"BVES","1. response to stimulus"
"C1GALT1C1","1. response to stimulus"
"C1QA","1. response to stimulus"
"C1QB","1. response to stimulus"
"C1QBP","1. response to stimulus"
"C1QC","1. response to stimulus"
"C1QL4","1. response to stimulus"
"C1QTNF1","1. response to stimulus"
"C1QTNF2","1. response to stimulus"
"C1QTNF3","1. response to stimulus"
"C1QTNF4","1. response to stimulus"
"C1QTNF9","1. response to stimulus"
"C1QTNF12","1. response to stimulus"
"C1RA","1. response to stimulus"
"C1RB","1. response to stimulus"
"C1RL","1. response to stimulus"
"C1S1","1. response to stimulus"
"C1S2","1. response to stimulus"
"C2","1. response to stimulus"
"C2CD2L","1. response to stimulus"
"C2CD3","1. response to stimulus"
"C2CD4A","1. response to stimulus"
"C2CD4B","1. response to stimulus"
"C2CD5","1. response to stimulus"
"C3","1. response to stimulus"
"C3AR1","1. response to stimulus"
"C4A","1. response to stimulus"
"C4B","1. response to stimulus"
"C4BP","1. response to stimulus"
"C5AR1","1. response to stimulus"
"C5AR2","1. response to stimulus"
"C6","1. response to stimulus"
"C8A","1. response to stimulus"
"C8B","1. response to stimulus"
"C8G","1. response to stimulus"
"C9","1. response to stimulus"
"C9ORF72","1. response to stimulus"
"C530030P08RIK","1. response to stimulus"
"CAAP1","1. response to stimulus"
"CAB39","1. response to stimulus"
"CAB39L","1. response to stimulus"
"CABIN1","1. response to stimulus"
"CABP1","1. response to stimulus"
"CABP2","1. response to stimulus"
"CABP4","1. response to stimulus"
"CABYR","1. response to stimulus"
"CACNA1A","1. response to stimulus"
"CACNA1B","1. response to stimulus"
"CACNA1C","1. response to stimulus"
"CACNA1D","1. response to stimulus"
"CACNA1E","1. response to stimulus"
"CACNA1F","1. response to stimulus"
"CACNA1G","1. response to stimulus"
"CACNA1S","1. response to stimulus"
"CACNA2D1","1. response to stimulus"
"CACNA2D4","1. response to stimulus"
"CACNB1","1. response to stimulus"
"CACNB3","1. response to stimulus"
"CACNB4","1. response to stimulus"
"CACNG2","1. response to stimulus"
"CACNG3","1. response to stimulus"
"CACNG4","1. response to stimulus"
"CACNG5","1. response to stimulus"
"CACNG7","1. response to stimulus"
"CACNG8","1. response to stimulus"
"CACTIN","1. response to stimulus"
"CACYBP","1. response to stimulus"
"CAD","1. response to stimulus"
"CADM1","1. response to stimulus"
"CADM4","1. response to stimulus"
"CADPS2","1. response to stimulus"
"CAF","1. response to stimulus"
"CALB1","1. response to stimulus"
"CALCA","1. response to stimulus"
"CALCB","1. response to stimulus"
"CALCOCO1","1. response to stimulus"
"CALCR","1. response to stimulus"
"CALCRL","1. response to stimulus"
"CALD1","1. response to stimulus"
"CALHM1","1. response to stimulus"
"CALM1","1. response to stimulus"
"CALM2","1. response to stimulus"
"CALM3","1. response to stimulus"
"CALM4","1. response to stimulus"
"CALM5","1. response to stimulus"
"CALML3","1. response to stimulus"
"CALML4","1. response to stimulus"
"CALR","1. response to stimulus"
"CALR3","1. response to stimulus"
"CALR4","1. response to stimulus"
"CALY","1. response to stimulus"
"CAMK1","1. response to stimulus"
"CAMK1D","1. response to stimulus"
"CAMK2A","1. response to stimulus"
"CAMK2B","1. response to stimulus"
"CAMK2D","1. response to stimulus"
"CAMK2G","1. response to stimulus"
"CAMK2N1","1. response to stimulus"
"CAMK4","1. response to stimulus"
"CAMKK1","1. response to stimulus"
"CAMKK2","1. response to stimulus"
"CAML","1. response to stimulus"
"CAMP","1. response to stimulus"
"CAMTA1","1. response to stimulus"
"CAMTA2","1. response to stimulus"
"CANX","1. response to stimulus"
"CAPG","1. response to stimulus"
"CAPN1","1. response to stimulus"
"CAPN2","1. response to stimulus"
"CAPN3","1. response to stimulus"
"CAPN10","1. response to stimulus"
"CAPRIN2","1. response to stimulus"
"CAPZB","1. response to stimulus"
"CAR2","1. response to stimulus"
"CAR3","1. response to stimulus"
"CAR4","1. response to stimulus"
"CAR5B","1. response to stimulus"
"CAR6","1. response to stimulus"
"CAR8","1. response to stimulus"
"CAR12","1. response to stimulus"
"CAR14","1. response to stimulus"
"CARD6","1. response to stimulus"
"CARD9","1. response to stimulus"
"CARD10","1. response to stimulus"
"CARD11","1. response to stimulus"
"CARD14","1. response to stimulus"
"CARF","1. response to stimulus"
"CARLR","1. response to stimulus"
"CARM1","1. response to stimulus"
"CARMIL2","1. response to stimulus"
"CARTPT","1. response to stimulus"
"CASK","1. response to stimulus"
"CASKIN1","1. response to stimulus"
"CASP1","1. response to stimulus"
"CASP2","1. response to stimulus"
"CASP3","1. response to stimulus"
"CASP4","1. response to stimulus"
"CASP6","1. response to stimulus"
"CASP7","1. response to stimulus"
"CASP8","1. response to stimulus"
"CASP8AP2","1. response to stimulus"
"CASP9","1. response to stimulus"
"CASP12","1. response to stimulus"
"CASP14","1. response to stimulus"
"CASQ1","1. response to stimulus"
"CASQ2","1. response to stimulus"
"CASR","1. response to stimulus"
"CASS4","1. response to stimulus"
"CASTOR1","1. response to stimulus"
"CASTOR2","1. response to stimulus"
"CAT","1. response to stimulus"
"CAV1","1. response to stimulus"
"CAV2","1. response to stimulus"
"CAV3","1. response to stimulus"
"CAVIN3","1. response to stimulus"
"CAVIN4","1. response to stimulus"
"CBFA2T2","1. response to stimulus"
"CBFA2T3","1. response to stimulus"
"CBL","1. response to stimulus"
"CBLB","1. response to stimulus"
"CBLC","1. response to stimulus"
"CBLIF","1. response to stimulus"
"CBLN1","1. response to stimulus"
"CBS","1. response to stimulus"
"CBX1","1. response to stimulus"
"CBX3","1. response to stimulus"
"CBX5","1. response to stimulus"
"CBX8","1. response to stimulus"
"CBY1","1. response to stimulus"
"CC2D2A","1. response to stimulus"
"CCAR2","1. response to stimulus"
"CCBE1","1. response to stimulus"
"CCDC3","1. response to stimulus"
"CCDC13","1. response to stimulus"
"CCDC22","1. response to stimulus"
"CCDC47","1. response to stimulus"
"CCDC62","1. response to stimulus"
"CCDC66","1. response to stimulus"
"CCDC68","1. response to stimulus"
"CCDC80","1. response to stimulus"
"CCDC88A","1. response to stimulus"
"CCDC88B","1. response to stimulus"
"CCDC88C","1. response to stimulus"
"CCDC115","1. response to stimulus"
"CCDC125","1. response to stimulus"
"CCDC141","1. response to stimulus"
"CCDC155","1. response to stimulus"
"CCDC186","1. response to stimulus"
"CCK","1. response to stimulus"
"CCKAR","1. response to stimulus"
"CCKBR","1. response to stimulus"
"CCL1","1. response to stimulus"
"CCL2","1. response to stimulus"
"CCL3","1. response to stimulus"
"CCL4","1. response to stimulus"
"CCL5","1. response to stimulus"
"CCL6","1. response to stimulus"
"CCL7","1. response to stimulus"
"CCL8","1. response to stimulus"
"CCL9","1. response to stimulus"
"CCL11","1. response to stimulus"
"CCL12","1. response to stimulus"
"CCL17","1. response to stimulus"
"CCL19","1. response to stimulus"
"CCL20","1. response to stimulus"
"CCL21A","1. response to stimulus"
"CCL21B","1. response to stimulus"
"CCL21C","1. response to stimulus"
"CCL22","1. response to stimulus"
"CCL24","1. response to stimulus"
"CCL25","1. response to stimulus"
"CCL26","1. response to stimulus"
"CCL27A","1. response to stimulus"
"CCL27B","1. response to stimulus"
"CCL28","1. response to stimulus"
"CCM2L","1. response to stimulus"
"CCN1","1. response to stimulus"
"CCN2","1. response to stimulus"
"CCN3","1. response to stimulus"
"CCN4","1. response to stimulus"
"CCN5","1. response to stimulus"
"CCN6","1. response to stimulus"
"CCND1","1. response to stimulus"
"CCND2","1. response to stimulus"
"CCND3","1. response to stimulus"
"CCNE1","1. response to stimulus"
"CCNG1","1. response to stimulus"
"CCNK","1. response to stimulus"
"CCNQ","1. response to stimulus"
"CCNY","1. response to stimulus"
"CCR1","1. response to stimulus"
"CCR1L1","1. response to stimulus"
"CCR2","1. response to stimulus"
"CCR3","1. response to stimulus"
"CCR4","1. response to stimulus"
